entity_1,relation,entity_2
一种岗前健康快速筛查系统及方法,keywords,根据检测数据
一种岗前健康快速筛查系统及方法,keywords,提高了健康快速筛查的检测效率
一种岗前健康快速筛查系统及方法,keywords,检测对应的检测数据
一种岗前健康快速筛查系统及方法,keywords,本方案可以通过系统同时检测人们身体的各项指标
一种岗前健康快速筛查系统及方法,keywords,本方案还可以打印检测结果
一种岗前健康快速筛查系统及方法,keywords,显示健康快速筛查界面
一种岗前健康快速筛查系统及方法,keywords,显示检测结果
一种岗前健康快速筛查系统及方法,keywords,本申请提供一种岗前健康快速筛查系统及方法
一种岗前健康快速筛查系统及方法,keywords,根据待测指标
一种岗前健康快速筛查系统及方法,keywords,检测数据包括血压数据
中国中煤能源集团有限公司,applied_for,一种岗前健康快速筛查系统及方法
中国中煤能源集团有限公司,applied_for,一种煤矿作业人员的风险评估方法及系统
中国中煤能源集团有限公司,applied_for,煤矿安全风险管控的平台、方法、电子设备及存储介质
中国中煤能源集团有限公司,applied_for,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
中国中煤能源集团有限公司,applied_for,一种能够测量地形起伏的独轮式地质素描仪及方法
中国中煤能源集团有限公司,applied_for,一种地质成像雷达MIMO天线阵列控制方法及设备
中国中煤能源集团有限公司,applied_for,差异化网络性能保障的方法、装置、存储介质及处理器
中国中煤能源集团有限公司,applied_for,一种放顶煤工作面端头煤岩悬顶的安全环保处理方法
中国中煤能源集团有限公司,applied_for,一种基于5G物联网融合的煤矿开采设备
中国中煤能源集团有限公司,applied_for,一种用于地下井工矿的定位方法及系统
中国中煤能源集团有限公司,applied_for,一种用于煤矿开采机电设备的检测装置
中国中煤能源集团有限公司,applied_for,用于冲击地压矿井的机械扩孔钻头
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,chinese_name,中国中煤能源集团有限公司
周亚东,invented,一种岗前健康快速筛查系统及方法
周亚东,invented,一种煤矿作业人员的风险评估方法及系统
周亚东,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
周亚东,invented,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
周应江,invented,一种岗前健康快速筛查系统及方法
周应江,invented,一种煤矿作业人员的风险评估方法及系统
周应江,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
闫建华,invented,一种岗前健康快速筛查系统及方法
闫建华,invented,一种煤矿作业人员的风险评估方法及系统
王云泉,invented,一种岗前健康快速筛查系统及方法
王云泉,invented,一种煤矿作业人员的风险评估方法及系统
王云泉,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
王云泉,invented,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
薛泽宇,invented,一种岗前健康快速筛查系统及方法
薛泽宇,invented,一种煤矿作业人员的风险评估方法及系统
赵学江,invented,一种岗前健康快速筛查系统及方法
赵学江,invented,一种煤矿作业人员的风险评估方法及系统
杨轲,invented,一种岗前健康快速筛查系统及方法
杨轲,invented,一种煤矿作业人员的风险评估方法及系统
赵玉宝,invented,一种岗前健康快速筛查系统及方法
赵玉宝,invented,一种煤矿作业人员的风险评估方法及系统
郭超荣,invented,一种岗前健康快速筛查系统及方法
郭超荣,invented,一种煤矿作业人员的风险评估方法及系统
陈洪林,invented,一种岗前健康快速筛查系统及方法
陈洪林,invented,一种煤矿作业人员的风险评估方法及系统
杜大文,invented,一种岗前健康快速筛查系统及方法
杜大文,invented,一种煤矿作业人员的风险评估方法及系统
葛庆岗,invented,一种岗前健康快速筛查系统及方法
葛庆岗,invented,一种煤矿作业人员的风险评估方法及系统
何华刚,invented,一种岗前健康快速筛查系统及方法
何华刚,invented,一种煤矿作业人员的风险评估方法及系统
史劢,invented,一种岗前健康快速筛查系统及方法
史劢,invented,一种煤矿作业人员的风险评估方法及系统
刘波,invented,一种岗前健康快速筛查系统及方法
刘波,invented,一种煤矿作业人员的风险评估方法及系统
杜祎康,invented,一种岗前健康快速筛查系统及方法
杜祎康,invented,一种煤矿作业人员的风险评估方法及系统
一种走滑断层识别方法及系统,keywords,进而得到断层交线与所述待测断层的侧伏角
一种走滑断层识别方法及系统,keywords,本申请提供的一种走滑断层识别方法及系统
一种走滑断层识别方法及系统,keywords,构造图等资料
一种走滑断层识别方法及系统,keywords,驱动环和胀裂环
一种走滑断层识别方法及系统,keywords,本发明公开了一种由甲醇制环氧化物的集成工艺方法
一种走滑断层识别方法及系统,keywords,本发明公开了一种深水海底管道实时智能监测系统及其实现方法
一种走滑断层识别方法及系统,keywords,本发明公开了一种热采油田放喷气安全排放和伴生气利用的生产系统及方法
一种走滑断层识别方法及系统,keywords,本发明公开了一种用于套管悬挂器的压力试验装置
一种走滑断层识别方法及系统,keywords,本发明公开了一种用于电缆压接的组合式工装
一种走滑断层识别方法及系统,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
华能煤业有限公司,applied_for,一种走滑断层识别方法及系统
华能煤业有限公司,applied_for,一种深井巷道防冲击地压支护装置
华能煤业有限公司,applied_for,一种智能化煤矿办公网络安全管理方法及系统
华能煤业有限公司,applied_for,一种液压支架减重方法
华能煤业有限公司,applied_for,一种超前液压支架
华能煤业有限公司,applied_for,用于俯斜长壁开采工作面采空区涌水的滤泥控水方法
华能煤业有限公司,applied_for,煤层群首采层定点扩孔增透与封孔预抽方法
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,chinese_name,华能煤业有限公司
袁浩伟,invented,一种走滑断层识别方法及系统
荆铁亚,invented,一种走滑断层识别方法及系统
刘练波,invented,一种走滑断层识别方法及系统
周娟,invented,一种走滑断层识别方法及系统
赵文韬,invented,一种走滑断层识别方法及系统
张健,invented,一种走滑断层识别方法及系统
张健,invented,一种模拟注聚井堵塞后近井地带聚合物溶液性能的方法
朱明宇,invented,一种走滑断层识别方法及系统
尹玉龙,invented,一种走滑断层识别方法及系统
李义朝,invented,一种走滑断层识别方法及系统
李义朝,invented,一种深井巷道防冲击地压支护装置
李义朝,invented,一种智能化煤矿办公网络安全管理方法及系统
李义朝,invented,一种液压支架减重方法
李义朝,invented,一种超前液压支架
高文,invented,一种走滑断层识别方法及系统
一种煤矿作业人员的风险评估方法及系统,keywords,映射关系及权重输入到人因事故风险评估模型进行风险评估
一种煤矿作业人员的风险评估方法及系统,keywords,本发明提供一种煤矿作业人员的风险评估方法及系统
一种煤矿作业人员的风险评估方法及系统,keywords,进行风险评估
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种钢丝动力电缆投捞机组系统及作业方法
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种脲基分散剂及其制备方法与应用
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种聚酰胺改性水性环氧固化剂及其制备方法
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种确定混源油的烃源岩贡献率的方法
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种硫化型加氢脱金属催化剂的制备方法
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
一种煤矿作业人员的风险评估方法及系统,keywords,本发明公开了一种硫化型体相加氢催化剂的制备方法
一种深井巷道防冲击地压支护装置,keywords,支撑组件对巷道进行一次支撑
一种深井巷道防冲击地压支护装置,keywords,支撑组件与弧形板以及直板之间存有间隙
一种深井巷道防冲击地压支护装置,keywords,支撑管对巷道进行二次支撑
一种深井巷道防冲击地压支护装置,keywords,极易破坏锚喷支护中的混凝土喷层的问题
一种深井巷道防冲击地压支护装置,keywords,本发明涉及深井巷道支护技术领域
一种深井巷道防冲击地压支护装置,keywords,本发明公开了一种深井巷道防冲击地压支护装置
一种深井巷道防冲击地压支护装置,keywords,本发明公开了一种硫化型加氢催化剂的制备方法
一种深井巷道防冲击地压支护装置,keywords,本发明公开了一种用于套管悬挂器的压力试验装置
一种深井巷道防冲击地压支护装置,keywords,本发明公开了一种用于电缆压接的组合式工装
一种深井巷道防冲击地压支护装置,keywords,本发明公开了一种由甲醇制环氧化物的集成工艺方法
汪占领,invented,一种深井巷道防冲击地压支护装置
杜金洲,invented,一种深井巷道防冲击地压支护装置
杜金洲,invented,一种智能化煤矿办公网络安全管理方法及系统
王志超,invented,一种深井巷道防冲击地压支护装置
王志超,invented,一种催化油浆脱固脱沥青与溶剂回收的方法及其装置系统
杨云斌,invented,一种深井巷道防冲击地压支护装置
程利兴,invented,一种深井巷道防冲击地压支护装置
赵亮,invented,一种深井巷道防冲击地压支护装置
赵亮,invented,一种低渗储层油井酸化增产效果预测和调控方法
王港盛,invented,一种深井巷道防冲击地压支护装置
高健勋,invented,一种深井巷道防冲击地压支护装置
石蒙,invented,一种深井巷道防冲击地压支护装置
李汉汉,invented,一种深井巷道防冲击地压支护装置
李汉汉,invented,一种智能化煤矿办公网络安全管理方法及系统
郭罡业,invented,一种深井巷道防冲击地压支护装置
肖运智,invented,一种深井巷道防冲击地压支护装置
石垚,invented,一种深井巷道防冲击地压支护装置
李永元,invented,一种深井巷道防冲击地压支护装置
李永元,invented,煤层群首采层定点扩孔增透与封孔预抽方法
褚晓威,invented,一种深井巷道防冲击地压支护装置
胡兵,invented,一种深井巷道防冲击地压支护装置
胡兵,invented,一种智能化煤矿办公网络安全管理方法及系统
胡兵,invented,一种液压支架减重方法
胡兵,invented,一种超前液压支架
于忠升,invented,一种深井巷道防冲击地压支护装置
于忠升,invented,一种智能化煤矿办公网络安全管理方法及系统
于忠升,invented,一种液压支架减重方法
于忠升,invented,一种超前液压支架
李高正,invented,一种深井巷道防冲击地压支护装置
李高正,invented,一种液压支架减重方法
李高正,invented,一种超前液压支架
孙辅延,invented,一种深井巷道防冲击地压支护装置
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,更加稳健准确地反映列车运行间距
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种基于动力学响应的轨道列车运行间距实时自动获取方法
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,计算出运行间距
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,更有效地实现了碳捕集过程
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种高效复合苯乙烯阻聚剂及其制备方法
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种随钻近钻头环井周位置信息测量方法及相关装置
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种钢丝动力电缆投捞机组系统及作业方法
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种采油树帽送入工具
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种脲基分散剂及其制备方法与应用
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,本发明公开了一种聚酰胺改性水性环氧固化剂及其制备方法
中国神华能源股份有限公司,applied_for,基于动力学响应的轨道列车运行间距实时自动获取方法
中国神华能源股份有限公司,applied_for,一种特定径路生成方法、系统、设备及计算机存储介质
中国神华能源股份有限公司,applied_for,能源供应链实时调度智能决策业务仿真系统及方法
中国神华能源股份有限公司,applied_for,基于时空网络的煤炭铁路运输重车调度优化方法及装置
中国神华能源股份有限公司,applied_for,能源供应链仿真推演方法、装置及电子设备
中国神华能源股份有限公司,applied_for,供应链视角下煤炭调运路线优化方法及系统
中国神华能源股份有限公司,applied_for,一体化煤炭供应链调度方案生成方法及系统
中国神华能源股份有限公司,applied_for,针对封航预警的船舶调度方法、装置及电子设备
中国神华能源股份有限公司,applied_for,基于双因素的生产作业风险综合定量评估方法与系统
中国神华能源股份有限公司,applied_for,一种重载铁路装车端空车调配方法、装置、设备及介质
中国神华能源股份有限公司,applied_for,铁路机车工作计划编制方法、系统、设备及可读存储介质
CAICT_COM_100006_FEC5907B289C8F73CCBBE77B01FF7791,chinese_name,中国神华能源股份有限公司
朱胜阳,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
王文斌,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
王文斌,invented,一种重载铁路装车端空车调配方法、装置、设备及介质
张庆铼,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
王兴中,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
翟婉明,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
何庆烈,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
陈再刚,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
王相平,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
周子伟,invented,基于动力学响应的轨道列车运行间距实时自动获取方法
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,还可以隔绝波纹板压溃过程中产生的火花
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,本发明的适用于巷道防冲液压支架的吸能式顶梁
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,摒弃了在液压立柱底部安装防冲吸能构件的设计
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,制作成本较低的特点
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,吸能组件采用三明治结构
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,防止火花与外界瓦斯气体接触
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,为井下防火安全提供保证
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,制造容易
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,具有结构简单
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,驱动环和胀裂环
中国中煤能源股份有限公司,applied_for,一种适用于巷道防冲液压支架的吸能式顶梁
中国中煤能源股份有限公司,applied_for,一种智能行进的钻孔窥视设备及其使用方法
中国中煤能源股份有限公司,applied_for,锚索动态力学性能测试方法及其测试系统
中国中煤能源股份有限公司,applied_for,一种吸能防冲防倒巷道液压支架
中国中煤能源股份有限公司,applied_for,一种缓冲吸能型的液压支架底座
中国中煤能源股份有限公司,applied_for,一种张脚式巷道防冲液压支架及其防冲方法
中国中煤能源股份有限公司,applied_for,一种导向梁运移式巷道防冲液压支架及其使用方法
中国中煤能源股份有限公司,applied_for,一种巷道液压支架的圆形运移轨道装置
中国中煤能源股份有限公司,applied_for,一种冲击地压巷道液压支架的防冲效能评价方法
中国中煤能源股份有限公司,applied_for,一种水力压裂防止注水杆串杆装置
CAICT_COM_100006_F81E703D6AC6AD96B690778D6EE62FAB,chinese_name,中国中煤能源股份有限公司
张建卓,invented,一种适用于巷道防冲液压支架的吸能式顶梁
张建卓,invented,一种吸能防冲防倒巷道液压支架
张建卓,invented,一种缓冲吸能型的液压支架底座
张建卓,invented,一种张脚式巷道防冲液压支架及其防冲方法
张建卓,invented,一种导向梁运移式巷道防冲液压支架及其使用方法
张建卓,invented,一种巷道液压支架的圆形运移轨道装置
张万久,invented,一种适用于巷道防冲液压支架的吸能式顶梁
张万久,invented,一种吸能防冲防倒巷道液压支架
王书文,invented,一种适用于巷道防冲液压支架的吸能式顶梁
王书文,invented,一种智能行进的钻孔窥视设备及其使用方法
王书文,invented,锚索动态力学性能测试方法及其测试系统
王书文,invented,一种吸能防冲防倒巷道液压支架
王书文,invented,一种缓冲吸能型的液压支架底座
王书文,invented,一种张脚式巷道防冲液压支架及其防冲方法
王书文,invented,一种导向梁运移式巷道防冲液压支架及其使用方法
王书文,invented,一种巷道液压支架的圆形运移轨道装置
王书文,invented,一种放顶煤工作面端头煤岩悬顶的安全环保处理方法
王书文,invented,一种冲击地压巷道液压支架的防冲效能评价方法
王书文,invented,用于冲击地压矿井的机械扩孔钻头
潘一山,invented,一种适用于巷道防冲液压支架的吸能式顶梁
潘一山,invented,一种吸能防冲防倒巷道液压支架
潘一山,invented,一种张脚式巷道防冲液压支架及其防冲方法
潘一山,invented,一种导向梁运移式巷道防冲液压支架及其使用方法
潘一山,invented,一种冲击地压巷道液压支架的防冲效能评价方法
陆伦,invented,一种适用于巷道防冲液压支架的吸能式顶梁
陆伦,invented,一种张脚式巷道防冲液压支架及其防冲方法
肖永惠,invented,一种适用于巷道防冲液压支架的吸能式顶梁
肖永惠,invented,一种智能行进的钻孔窥视设备及其使用方法
肖永惠,invented,一种吸能防冲防倒巷道液压支架
肖永惠,invented,一种缓冲吸能型的液压支架底座
