entity_1,relation,entity_2
一种岗前健康快速筛查系统及方法,has_keyword,装置
一种岗前健康快速筛查系统及方法,has_keyword,电子设备及存储介质
一种岗前健康快速筛查系统及方法,has_keyword,原料油直接制化学品的方法
一种岗前健康快速筛查系统及方法,has_keyword,方法
一种岗前健康快速筛查系统及方法,has_keyword,煤矿安全风险管控的平台
一种岗前健康快速筛查系统及方法,has_keyword,岩性圈闭边界的确定方法
一种岗前健康快速筛查系统及方法,has_keyword,差异化网络性能保障的方法
一种岗前健康快速筛查系统及方法,has_keyword,存储介质及处理器
一种岗前健康快速筛查系统及方法,has_keyword,设备和介质
一种岗前健康快速筛查系统及方法,has_keyword,油藏流度非线性变化的产能确定方法
中国中煤能源集团有限公司,applied_for,一种岗前健康快速筛查系统及方法
中国中煤能源集团有限公司,applied_for,一种煤矿作业人员的风险评估方法及系统
中国中煤能源集团有限公司,applied_for,煤矿安全风险管控的平台、方法、电子设备及存储介质
中国中煤能源集团有限公司,applied_for,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
中国中煤能源集团有限公司,applied_for,一种能够测量地形起伏的独轮式地质素描仪及方法
中国中煤能源集团有限公司,applied_for,一种地质成像雷达MIMO天线阵列控制方法及设备
中国中煤能源集团有限公司,applied_for,差异化网络性能保障的方法、装置、存储介质及处理器
中国中煤能源集团有限公司,applied_for,一种放顶煤工作面端头煤岩悬顶的安全环保处理方法
中国中煤能源集团有限公司,applied_for,一种基于5G物联网融合的煤矿开采设备
中国中煤能源集团有限公司,applied_for,一种用于地下井工矿的定位方法及系统
中国中煤能源集团有限公司,applied_for,一种用于煤矿开采机电设备的检测装置
中国中煤能源集团有限公司,applied_for,用于冲击地压矿井的机械扩孔钻头
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种岗前健康快速筛查系统及方法
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种煤矿作业人员的风险评估方法及系统
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,煤矿安全风险管控的平台、方法、电子设备及存储介质
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种能够测量地形起伏的独轮式地质素描仪及方法
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种地质成像雷达MIMO天线阵列控制方法及设备
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,差异化网络性能保障的方法、装置、存储介质及处理器
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种放顶煤工作面端头煤岩悬顶的安全环保处理方法
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种基于5G物联网融合的煤矿开采设备
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种用于地下井工矿的定位方法及系统
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,一种用于煤矿开采机电设备的检测装置
CAICT_COM_100006_C2A9FF4B9A889A4B168E99F8EB845B2E,has_patent,用于冲击地压矿井的机械扩孔钻头
周亚东,invented,一种岗前健康快速筛查系统及方法
周亚东,invented,一种煤矿作业人员的风险评估方法及系统
周亚东,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
周亚东,invented,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
周应江,invented,一种岗前健康快速筛查系统及方法
周应江,invented,一种煤矿作业人员的风险评估方法及系统
周应江,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
闫建华,invented,一种岗前健康快速筛查系统及方法
闫建华,invented,一种煤矿作业人员的风险评估方法及系统
王云泉,invented,一种岗前健康快速筛查系统及方法
王云泉,invented,一种煤矿作业人员的风险评估方法及系统
王云泉,invented,煤矿安全风险管控的平台、方法、电子设备及存储介质
王云泉,invented,一种基于声音识别的煤矿井下探水钻孔监测方法与系统
薛泽宇,invented,一种岗前健康快速筛查系统及方法
薛泽宇,invented,一种煤矿作业人员的风险评估方法及系统
赵学江,invented,一种岗前健康快速筛查系统及方法
赵学江,invented,一种煤矿作业人员的风险评估方法及系统
杨轲,invented,一种岗前健康快速筛查系统及方法
杨轲,invented,一种煤矿作业人员的风险评估方法及系统
赵玉宝,invented,一种岗前健康快速筛查系统及方法
赵玉宝,invented,一种煤矿作业人员的风险评估方法及系统
郭超荣,invented,一种岗前健康快速筛查系统及方法
郭超荣,invented,一种煤矿作业人员的风险评估方法及系统
陈洪林,invented,一种岗前健康快速筛查系统及方法
陈洪林,invented,一种煤矿作业人员的风险评估方法及系统
杜大文,invented,一种岗前健康快速筛查系统及方法
杜大文,invented,一种煤矿作业人员的风险评估方法及系统
葛庆岗,invented,一种岗前健康快速筛查系统及方法
葛庆岗,invented,一种煤矿作业人员的风险评估方法及系统
何华刚,invented,一种岗前健康快速筛查系统及方法
何华刚,invented,一种煤矿作业人员的风险评估方法及系统
史劢,invented,一种岗前健康快速筛查系统及方法
史劢,invented,一种煤矿作业人员的风险评估方法及系统
刘波,invented,一种岗前健康快速筛查系统及方法
刘波,invented,一种煤矿作业人员的风险评估方法及系统
杜祎康,invented,一种岗前健康快速筛查系统及方法
杜祎康,invented,一种煤矿作业人员的风险评估方法及系统
原料油直接制化学品的方法,has_keyword,装置
原料油直接制化学品的方法,has_keyword,电子设备及存储介质
原料油直接制化学品的方法,has_keyword,原料油直接制化学品的方法
原料油直接制化学品的方法,has_keyword,方法
原料油直接制化学品的方法,has_keyword,煤矿安全风险管控的平台
原料油直接制化学品的方法,has_keyword,岩性圈闭边界的确定方法
原料油直接制化学品的方法,has_keyword,差异化网络性能保障的方法
原料油直接制化学品的方法,has_keyword,存储介质及处理器
原料油直接制化学品的方法,has_keyword,设备和介质
原料油直接制化学品的方法,has_keyword,油藏流度非线性变化的产能确定方法
一种走滑断层识别方法及系统,has_keyword,sub
一种走滑断层识别方法及系统,has_keyword,装置
一种走滑断层识别方法及系统,has_keyword,设备及介质
一种走滑断层识别方法及系统,has_keyword,一种海上高含co
一种走滑断层识别方法及系统,has_keyword,天然气回注系统
一种走滑断层识别方法及系统,has_keyword,一种用于海底co
一种走滑断层识别方法及系统,has_keyword,固化封存的水合物快速生成装置
一种走滑断层识别方法及系统,has_keyword,一种高黏度高c
一种走滑断层识别方法及系统,has_keyword,值芳香基橡胶增塑剂及其制备方法
一种走滑断层识别方法及系统,has_keyword,海上油气田高含co
华能煤业有限公司,applied_for,一种走滑断层识别方法及系统
华能煤业有限公司,applied_for,一种深井巷道防冲击地压支护装置
华能煤业有限公司,applied_for,一种智能化煤矿办公网络安全管理方法及系统
华能煤业有限公司,applied_for,一种液压支架减重方法
华能煤业有限公司,applied_for,一种超前液压支架
华能煤业有限公司,applied_for,用于俯斜长壁开采工作面采空区涌水的滤泥控水方法
华能煤业有限公司,applied_for,煤层群首采层定点扩孔增透与封孔预抽方法
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,一种走滑断层识别方法及系统
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,一种深井巷道防冲击地压支护装置
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,一种智能化煤矿办公网络安全管理方法及系统
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,一种液压支架减重方法
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,一种超前液压支架
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,用于俯斜长壁开采工作面采空区涌水的滤泥控水方法
CAICT_COM_100006_2D1489FA41B9846088A9C422C03CC68D,has_patent,煤层群首采层定点扩孔增透与封孔预抽方法
袁浩伟,invented,一种走滑断层识别方法及系统
荆铁亚,invented,一种走滑断层识别方法及系统
刘练波,invented,一种走滑断层识别方法及系统
周娟,invented,一种走滑断层识别方法及系统
赵文韬,invented,一种走滑断层识别方法及系统
张健,invented,一种走滑断层识别方法及系统
张健,invented,一种模拟注聚井堵塞后近井地带聚合物溶液性能的方法
朱明宇,invented,一种走滑断层识别方法及系统
尹玉龙,invented,一种走滑断层识别方法及系统
李义朝,invented,一种走滑断层识别方法及系统
李义朝,invented,一种深井巷道防冲击地压支护装置
李义朝,invented,一种智能化煤矿办公网络安全管理方法及系统
李义朝,invented,一种液压支架减重方法
李义朝,invented,一种超前液压支架
高文,invented,一种走滑断层识别方法及系统
一种煤矿作业人员的风险评估方法及系统,has_keyword,装置
一种煤矿作业人员的风险评估方法及系统,has_keyword,电子设备及存储介质
一种煤矿作业人员的风险评估方法及系统,has_keyword,原料油直接制化学品的方法
一种煤矿作业人员的风险评估方法及系统,has_keyword,方法
一种煤矿作业人员的风险评估方法及系统,has_keyword,煤矿安全风险管控的平台
一种煤矿作业人员的风险评估方法及系统,has_keyword,岩性圈闭边界的确定方法
一种煤矿作业人员的风险评估方法及系统,has_keyword,差异化网络性能保障的方法
一种煤矿作业人员的风险评估方法及系统,has_keyword,存储介质及处理器
一种煤矿作业人员的风险评估方法及系统,has_keyword,设备和介质
一种煤矿作业人员的风险评估方法及系统,has_keyword,油藏流度非线性变化的产能确定方法
一种深井巷道防冲击地压支护装置,has_keyword,装置
一种深井巷道防冲击地压支护装置,has_keyword,电子设备及存储介质
一种深井巷道防冲击地压支护装置,has_keyword,原料油直接制化学品的方法
一种深井巷道防冲击地压支护装置,has_keyword,方法
一种深井巷道防冲击地压支护装置,has_keyword,煤矿安全风险管控的平台
一种深井巷道防冲击地压支护装置,has_keyword,岩性圈闭边界的确定方法
一种深井巷道防冲击地压支护装置,has_keyword,差异化网络性能保障的方法
一种深井巷道防冲击地压支护装置,has_keyword,存储介质及处理器
一种深井巷道防冲击地压支护装置,has_keyword,设备和介质
一种深井巷道防冲击地压支护装置,has_keyword,油藏流度非线性变化的产能确定方法
汪占领,invented,一种深井巷道防冲击地压支护装置
杜金洲,invented,一种深井巷道防冲击地压支护装置
杜金洲,invented,一种智能化煤矿办公网络安全管理方法及系统
王志超,invented,一种深井巷道防冲击地压支护装置
王志超,invented,一种催化油浆脱固脱沥青与溶剂回收的方法及其装置系统
杨云斌,invented,一种深井巷道防冲击地压支护装置
程利兴,invented,一种深井巷道防冲击地压支护装置
赵亮,invented,一种深井巷道防冲击地压支护装置
赵亮,invented,一种低渗储层油井酸化增产效果预测和调控方法
王港盛,invented,一种深井巷道防冲击地压支护装置
高健勋,invented,一种深井巷道防冲击地压支护装置
石蒙,invented,一种深井巷道防冲击地压支护装置
李汉汉,invented,一种深井巷道防冲击地压支护装置
李汉汉,invented,一种智能化煤矿办公网络安全管理方法及系统
郭罡业,invented,一种深井巷道防冲击地压支护装置
肖运智,invented,一种深井巷道防冲击地压支护装置
石垚,invented,一种深井巷道防冲击地压支护装置
李永元,invented,一种深井巷道防冲击地压支护装置
李永元,invented,煤层群首采层定点扩孔增透与封孔预抽方法
褚晓威,invented,一种深井巷道防冲击地压支护装置
胡兵,invented,一种深井巷道防冲击地压支护装置
胡兵,invented,一种智能化煤矿办公网络安全管理方法及系统
胡兵,invented,一种液压支架减重方法
胡兵,invented,一种超前液压支架
于忠升,invented,一种深井巷道防冲击地压支护装置
于忠升,invented,一种智能化煤矿办公网络安全管理方法及系统
于忠升,invented,一种液压支架减重方法
于忠升,invented,一种超前液压支架
李高正,invented,一种深井巷道防冲击地压支护装置
李高正,invented,一种液压支架减重方法
李高正,invented,一种超前液压支架
孙辅延,invented,一种深井巷道防冲击地压支护装置
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,sub
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,装置
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,设备及介质
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,一种海上高含co
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,天然气回注系统
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,一种用于海底co
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,固化封存的水合物快速生成装置
基于动力学响应的轨道列车运行间距实时自动获取方法,has_keyword,一种高黏度高c
